Hours,Score
1.2,38
2.5,45
3.1,51
4.0,58
1.8,42
2.2,44
3.8,56
4.5,63
5.0,68
1.5,40
2.0,43
2.9,49
3.5,54
4.2,61
4.8,66
5.5,72
1.0,35
3.0,50
3.3,52
4.6,64
5.2,70
6.0,76
0.5,30
1.9,42
2.7,47
3.6,55
4.3,62
5.1,69
5.8,74
6.5,80
2.1,44
2.4,46
3.2,52
3.9,57
4.4,63
5.3,71
5.9,75
6.2,78
0.8,33
1.4,39
2.3,45
2.8,48
3.4,53
4.1,60
4.7,65
5.4,72
6.1,77
6.8,82
1.1,37
1.7,41
2.6,46
3.7,55
4.9,66
5.6,73
6.3,79
6.9,84
7.0,85
0.6,31
1.3,38
2.2,44
3.0,50
3.5,54
4.0,59
4.5,64
5.0,68
5.5,72
6.0,75
6.5,80
7.0,84
7.5,88
0.9,34
1.6,40
2.4,46
3.2,52
4.1,60
4.8,66
5.7,73
6.4,79
7.2,86
7.8,90
1.2,38
2.1,44
3.3,53
4.2,61
5.1,69
6.0,76
6.8,82
7.5,87
8.0,92
0.7,32
1.5,39
2.0,43
2.9,49
3.8,56
4.6,64
5.4,71
6.2,78
7.1,85
7.9,90
1.9,42
2.7,47
3.6,54
4.4,62
5.2,70
6.1,77
6.9,83
7.6,88
8.2,93
0.4,29
1.0,36
1.8,41
2.5,46
3.4,53
4.3,61
5.1,68
5.9,74
6.7,81
7.4,87
8.1,92
8.5,95
1.1,37
1.9,42
2.8,48
3.7,55
4.5,63
5.3,70
6.2,78
7.0,84
7.8,89
8.4,94
0.6,31
1.4,38
2.2,44
3.1,51
4.0,58
4.9,66
5.7,73
6.5,80
7.3,86
8.0,91
8.6,96
1.3,38
2.1,44
3.0,50
3.9,57
4.8,65
5.6,72
6.4,79
7.2,85
8.0,91
8.8,97
0.5,30
1.2,37
2.0,43
2.9,49
3.8,56
4.7,64
5.5,71
6.3,78
7.1,84
7.9,90
8.7,96
9.0,99
1.7,40
2.6,46
3.5,54
4.4,62
5.2,69
6.1,76
6.9,82
7.7,88
8.5,94
9.2,98
0.8,33
1.6,40
2.4,45
3.3,52
4.2,60
5.0,67
5.9,74
6.7,81
7.5,87
8.3,93
9.1,97
9.5,100
